primaryPosition,Player ID,firstName,lastName,nationality,height_cm,weight,shootsCatches
Left Wing,8471743,Vladimir,Sobotka,CZE,177.8,184.0,L
Right Wing,8478106,Dylan,Sikura,CAN,180.34,158.0,L
Goalie,8475234,J-F,Berube,CAN,185.42,177.0,L
Defence,8479595,Blake,Hillman,USA,185.42,180.0,L
Defence,8476441,Joel,Edmundson,CAN,193.04,215.0,L
Goalie,8475299,Joni,Ortio,FIN,185.42,190.0,L
Center,8470169,Gregory,Campbell,CAN,182.88,188.0,L
Left Wing,8477510,Kerby,Rychel,CAN,185.42,213.0,L
Left Wing,8460720,Eric,Boulton,CAN,182.88,227.0,L
Center,8467351,Scott,Gomez,USA,180.34,200.0,L
Goalie,8477202,Andrew,Hammond,CAN,187.96,215.0,L
Defence,8474497,Michael,Kostka,CAN,185.42,210.0,R
Left Wing,8476477,Matt,Puempel,CAN,185.42,205.0,L
Defence,8475774,Petter,Granberg,SWE,190.5,200.0,R
Defence,8473550,Andrew,Bodnarchuk,CAN,180.34,195.0,L
Defence,8477472,Carl,Dahlstrom,SWE,193.04,231.0,L
Center,8478146,Matthew,Highmore,CAN,180.34,181.0,L
Center,8476927,Teddy,Blueger,LVA,182.88,185.0,L
Center,8478866,Dominik,Simon,CZE,180.34,190.0,L
Center,8479944,Zach,Aston-Reese,USA,182.88,204.0,L
Right Wing,8474722,Luke,Witkowski,USA,187.96,210.0,R
Goalie,8476316,Laurent,Brossoit,CAN,190.5,204.0,L
Left Wing,8475775,Tye,McGinn,CAN,190.5,218.0,L
Center,8475735,Greg,McKegg,CAN,182.88,191.0,L
Left Wing,8471956,Andrew,Desjardins,CAN,185.42,195.0,L
Center,8478528,Tanner,Kero,USA,182.88,185.0,L
Defence,8478506,Gabriel,Carlsson,SWE,195.58,192.0,L
Defence,8474090,Brendan,Smith,CAN,187.96,211.0,L
Goalie,8476343,Garret,Sparks,USA,187.96,204.0,L
Right Wing,8477491,Nicholas,Baptiste,CAN,185.42,205.0,R
Left Wing,8477931,Tomas,Nosek,CZE,190.5,210.0,L
Right Wing,8476617,Tomas,Hyka,CZE,180.34,160.0,R
Right Wing,8477949,Alex,Tuch,USA,193.04,222.0,R
Goalie,8476509,Maxime,Lagace,CAN,187.96,190.0,L
Defence,8480727,Zach,Whitecloud,CAN,187.96,209.0,R
Defence,8477447,Shea,Theodore,CAN,187.96,195.0,L
Center,8478458,Jack,Roslovic,USA,185.42,187.0,R
Goalie,8477180,Aaron,Dell,CAN,182.88,200.0,L
Center,8477987,Ryan,Donato,USA,182.88,181.0,L
Left Wing,8471794,Darren,Helm,CAN,182.88,196.0,L
Goalie,8470657,Jimmy,Howard,USA,185.42,218.0,L
Left Wing,8471266,David,Booth,USA,182.88,212.0,L
Center,8478488,Filip,Chlapik,CZE,185.42,196.0,L
Left Wing,8477479,Tyler,Bertuzzi,CAN,182.88,190.0,L
Defence,8468509,Niklas,Kronwall,SWE,182.88,194.0,L
Goalie,8471219,Al,Montoya,USA,187.96,201.0,L
Center,8475260,Corban,Knight,CAN,187.96,195.0,R
Defence,8475982,Erik,Burgdoerfer,USA,185.42,207.0,R
Center,8478400,Colin,White,USA,182.88,183.0,R
Defence,8475797,Jarred,Tinordi,USA,198.12,230.0,L
Right Wing,8474588,Viktor,Tikhonov,RUS,187.96,189.0,R
Defence,8469760,Zbynek,Michalek,CZE,187.96,210.0,R
Defence,8471269,Nicklas,Grossmann,SWE,193.04,230.0,L
Center,8471231,Kyle,Chipchura,CAN,187.96,203.0,L
Left Wing,8476894,Brendan,Leipsic,CAN,177.8,180.0,L
Left Wing,8477478,William,Carrier,CAN,187.96,212.0,L
Right Wing,8476209,Mike,Sislo,USA,180.34,190.0,R
Left Wing,8476370,Blake,Pietila,USA,180.34,200.0,L
Right Wing,8471663,Mike,Blunden,CAN,193.04,217.0,R
Defence,8478584,Vojtech,Mozik,CZE,190.5,200.0,R
Defence,8475274,Seth,Helgeson,USA,193.04,221.0,L
Goalie,8474092,Jeremy,Smith,USA,182.88,177.0,L
Left Wing,8475175,Magnus,Paajarvi,SWE,190.5,206.0,L
Defence,8476464,Duncan,Siemens,CAN,190.5,210.0,L
Center,8475413,Justin,Dowling,CAN,177.8,185.0,L
Center,8476471,Mark,McNeill,CAN,187.96,214.0,R
Right Wing,8478495,Denis,Gurianov,RUS,190.5,200.0,L
Center,8476982,Danny,O'Regan,USA,177.8,185.0,R
Defence,8475729,Mark,Alt,USA,193.04,201.0,R
Right Wing,8476482,Nicklas,Jensen,DNK,190.5,216.0,L
Right Wing,8474094,Matt,Halischuk,CAN,182.88,180.0,R
Right Wing,8476910,Scott,Kosmachuk,CAN,180.34,185.0,R
Right Wing,8477076,JC,Lipon,CAN,182.88,183.0,R
Left Wing,8475414,Craig,Cunningham,CAN,177.8,184.0,R
Left Wing,8474138,Dustin,Jeffrey,CAN,185.42,205.0,L
Defence,8475206,Stefan,Elliott,CAN,185.42,190.0,R
Left Wing,8473722,John,Scott,CAN,203.2,260.0,L
Right Wing,8477473,Justin,Bailey,USA,190.5,214.0,R
Left Wing,8475739,Michael,Bournival,CAN,180.34,198.0,L
Center,8476285,Matthew,Peca,CAN,172.72,178.0,L
Defence,8474707,Philip,Larsen,DNK,185.42,185.0,R
Goalie,8473523,Jhonas,Enroth,SWE,177.8,175.0,L
Goalie,8473972,Jonas,Hiller,CHE,187.96,191.0,R
Center,8469639,Brooks,Laich,CAN,187.96,200.0,L
Center,8474744,Sean,Collins,CAN,185.42,198.0,L
Center,8476329,Travis,Boyd,USA,180.34,185.0,L
Center,8475958,Michael,Sgarbossa,CAN,182.88,186.0,L
Right Wing,8477326,Joel,Vermin,CHE,180.34,192.0,L
Left Wing,8474850,Brandon,Mashinter,CAN,193.04,212.0,L
Left Wing,8470039,Tomas,Fleischmann,CZE,185.42,192.0,L
Defence,8476452,Tyler,Wotherspoon,CAN,187.96,207.0,L
Center,8467389,Brad,Richards,CAN,182.88,199.0,L
Center,8474168,Joakim,Andersson,SWE,187.96,211.0,L
Left Wing,8475661,Dave,Dziurzynski,CAN,190.5,224.0,L
Defence,8475174,Jared,Cowen,CAN,195.58,238.0,L
Left Wing,8468635,Travis,Moen,CAN,187.96,215.0,L
Defence,8473589,Chris,Summers,USA,187.96,207.0,L
Right Wing,8480015,Owen,Tippett,CAN,185.42,200.0,R
Defence,8472394,Peter,Harrold,USA,180.34,180.0,R
Goalie,8478999,Niklas,Treutle,DEU,187.96,185.0,
Center,8477919,Frederick,Gaudreau,CAN,182.88,179.0,R
Center,8479511,Janne,Kuokkanen,FIN,185.42,188.0,L
Center,8480039,Martin,Necas,CZE,185.42,167.0,R
Center,8477445,Hunter,Shinkaruk,CAN,177.8,181.0,L
Right Wing,8474130,Corey,Tropp,USA,182.88,186.0,R
Center,8476219,Patrick,Cannone,USA,180.34,199.0,R
Defence,8475153,Dylan,Olsen,CAN,187.96,223.0,L
Defence,8474005,Alex,Grant,CAN,193.04,205.0,R
Left Wing,8478137,Jiri,Sekac,CZE,185.42,185.0,L
Left Wing,8477486,Emile,Poirier,CAN,187.96,196.0,L
Defence,8474113,TJ,Brennan,USA,185.42,216.0,L
Defence,8474638,Andrew,Campbell,CAN,193.04,205.0,L
Center,8475842,Sam,Carrick,CAN,182.88,205.0,R
Right Wing,8477427,Tobias,Lindberg,SWE,190.5,215.0,L
Left Wing,8470599,Milan,Michalek,CZE,187.96,225.0,L
Right Wing,8470920,David,Clarkson,CAN,182.88,207.0,R
Center,8471862,Colin,Greening,CAN,187.96,210.0,L
Defence,8477300,Viktor,Svedberg,SWE,203.2,238.0,L
Defence,8475182,David,Rundblad,SWE,187.96,187.0,R
Right Wing,8471703,Steve,Downie,CAN,180.34,191.0,R
Defence,8474837,Mark,Cundari,CAN,175.26,195.0,L
Center,8474516,Bryan,Lerg,USA,177.8,175.0,L
Right Wing,8476384,Max,Friberg,SWE,180.34,200.0,R
Right Wing,8474131,Mario,Kempe,SWE,182.88,185.0,L
Defence,8480157,Calle,Rosen,SWE,185.42,195.0,L
Goalie,8475876,Zane,McIntyre,USA,187.96,206.0,L
Defence,8478851,Alexandre,Carrier,CAN,180.34,174.0,R
Goalie,8475809,Scott,Wedgewood,CAN,187.96,195.0,L
Left Wing,8476323,Max,McCormick,USA,180.34,188.0,L
Center,8475836,Alex,Friesen,CAN,175.26,186.0,L
Center,8479968,Vinni,Lettieri,USA,180.34,195.0,R
Goalie,8475311,Darcy,Kuemper,CAN,195.58,215.0,L
Defence,8470222,James,Wisniewski,USA,180.34,203.0,R
Left Wing,8477589,Ronalds,Kenins,LVA,182.88,201.0,L
Left Wing,8470274,Chris,Higgins,USA,182.88,205.0,L
Goalie,8477465,Tristan,Jarry,CAN,187.96,194.0,L
Goalie,8476876,Malcolm,Subban,CAN,187.96,200.0,L
Defence,8477502,Samuel,Morin,CAN,198.12,202.0,L
Defence,8476983,Paul,LaDue,USA,187.96,198.0,R
Center,8476922,Boo,Nieves,USA,190.5,212.0,L
Right Wing,8478873,Troy,Terry,USA,185.42,175.0,R
Defence,8477541,Dakota,Mermis,USA,182.88,195.0,L
Defence,8477634,Trevor,Murphy,CAN,177.8,180.0,L
Left Wing,8476766,Cole,Schneider,USA,185.42,203.0,L
Defence,8476166,Taylor,Fedun,CAN,185.42,201.0,R
Center,8471760,Cody,Bass,CAN,182.88,205.0,R
Defence,8476864,Ville,Pokka,FIN,182.88,214.0,R
Right Wing,8478393,Kyle,Baun,CAN,187.96,209.0,R
Goalie,8476932,Anthony,Stolarz,USA,198.12,210.0,L
Center,8476401,Daniel,Catenacci,CAN,177.8,193.0,L
Center,8478417,Jakob,Forsbacka Karlsson,SWE,185.42,184.0,R
Left Wing,8479066,Ryan,Lomberg,CAN,175.26,187.0,L
Defence,8477033,Viktor,Loov,SWE,185.42,212.0,L
Center,8467514,Pavel,Datsyuk,RUS,180.34,194.0,L
Goalie,8474765,Anders,Lindback,SWE,198.12,215.0,L
Goalie,8479496,David,Rittich,CZE,190.5,202.0,L
Right Wing,8475161,Chris,Brown,USA,187.96,208.0,R
Center,8476435,Alex,Khokhlachev,RUS,177.8,181.0,L
Left Wing,8470230,Daniel,Paille,CAN,185.42,200.0,L
Center,8475119,Zach,Sill,CAN,182.88,214.0,L
Defence,8475598,Ryan,Stanton,CAN,187.96,196.0,L
Goalie,8468038,Michael,Leighton,CAN,190.5,186.0,L
Center,8478020,Michael,Amadio,CAN,185.42,204.0,R
Center,8476391,TJ,Tynan,USA,172.72,165.0,R
Center,8476952,Dominic,Toninato,USA,187.96,200.0,L
Center,8475213,Drew,Shore,USA,190.5,205.0,R
Center,8476425,Joseph,LaBate,USA,195.58,210.0,L
Defence,8477814,Kevin,Czuczman,CAN,187.96,206.0,L
Defence,8476890,Patrick,Sieloff,USA,185.42,205.0,L
Center,8474024,Jim,O'Brien,USA,190.5,195.0,R
Left Wing,8478211,Dryden,Hunt,CAN,182.88,197.0,L
Defence,8474873,Brian,Lashoff,USA,190.5,219.0,L
Left Wing,8477998,Warren,Foegele,CAN,187.96,190.0,L
Defence,8478846,Christian,Wolanin,CAN,187.96,185.0,L
Defence,8477981,Roland,McKeown,CAN,185.42,195.0,R
Center,8475328,Ben,Sexton,CAN,180.34,196.0,R
Center,8475321,Phil,Varone,CAN,177.8,193.0,L
Left Wing,8471733,Rich,Clune,CAN,177.8,207.0,L
Goalie,8477484,Spencer,Martin,CAN,190.5,210.0,L
Goalie,8479193,Casey,DeSmith,USA,182.88,181.0,L
Left Wing,8468485,Raffi,Torres,CAN,182.88,215.0,L
Defence,8474698,Brent,Regner,CAN,180.34,189.0,R
Goalie,8477914,Roman,Will,CZE,185.42,195.0,L
Defence,8475060,Matt,Taormina,USA,177.8,189.0,L
Center,8475263,Wade,Megan,USA,185.42,191.0,L
Left Wing,8478104,Sammy,Blais,CAN,187.96,205.0,L
Right Wing,8476414,Alexandre,Grenier,CAN,195.58,200.0,R
Right Wing,8475224,Jordan,Szwarz,CAN,180.34,200.0,R
Goalie,8476903,Jon,Gillies,USA,198.12,223.0,L
Right Wing,8470120,Alexander,Semin,RUS,187.96,211.0,R
Defence,8470729,Tyson,Strachan,CAN,190.5,210.0,R
Defence,8480081,Michael,Kapla,USA,182.88,200.0,L
Right Wing,8470644,Colin,McDonald,USA,187.96,219.0,R
Center,8477961,John,Quenneville,CAN,185.42,195.0,L
Center,8480087,Mike,Vecchione,USA,177.8,194.0,R
Right Wing,8478431,Evgeny,Svechnikov,RUS,190.5,212.0,L
Center,8478027,Lucas,Wallmark,SWE,182.88,176.0,L
Right Wing,8477466,Nick,Sorensen,DNK,185.42,182.0,R
Defence,8478491,Jacob,Larsson,SWE,187.96,195.0,L
Right Wing,8480009,Eeli,Tolvanen,FIN,177.8,191.0,L
Left Wing,8480762,Eric,Robinson,USA,187.96,200.0,L
Center,8476283,Alex,Broadhurst,USA,182.88,178.0,L
Left Wing,8477341,Andreas,Johnsson,SWE,177.8,180.0,L
Right Wing,8477392,Hudson,Fasching,USA,190.5,204.0,R
Left Wing,8470667,Clarke,MacArthur,CAN,182.88,192.0,L
Right Wing,8475150,Jordan,Caron,CAN,190.5,204.0,L
Center,8477520,Jean-Sebastien,Dea,CAN,180.34,175.0,R
Goalie,8476433,Magnus,Hellberg,SWE,198.12,209.0,L
Center,8479304,Kyle,Criscuolo,USA,172.72,170.0,R
Defence,8476394,Michael,Paliotta,USA,193.04,207.0,R
Left Wing,8472424,Ryan,Hamilton,CAN,187.96,219.0,L
Right Wing,8475296,Mitch,Callahan,USA,180.34,198.0,R
Center,8477529,Colby,Cave,CAN,185.42,200.0,L
Defence,8476798,Karl,Stollery,CAN,180.34,180.0,L
Center,8479291,Kevin,Rooney,USA,187.96,190.0,L
Center,8479969,Griffen,Molino,USA,180.34,171.0,L
Right Wing,8475597,Shane,Harper,USA,180.34,193.0,R
Center,8477583,Curtis,Valk,CAN,175.26,170.0,L
Center,8476322,Chase,Balisy,USA,180.34,179.0,L
Center,8476020,Andrew,Crescenzi,CAN,195.58,207.0,L
Defence,8475194,Philip,Samuelsson,SWE,187.96,194.0,L
Defence,8476372,Nick,Seeler,USA,187.96,200.0,L
Defence,8477971,Andreas,Englund,SWE,190.5,189.0,L
Right Wing,8477210,Buddy,Robinson,USA,198.12,232.0,R
Center,8476911,Tanner,Richard,CAN,182.88,192.0,L
Goalie,8477356,Kristers,Gudlevskis,LVA,190.5,214.0,L
Left Wing,8477417,Peter,Cehlarik,SVK,187.96,202.0,L
Defence,8478476,Kyle,Capobianco,CAN,185.42,196.0,L
Left Wing,8476451,Lucas,Lessio,CAN,185.42,212.0,L
Goalie,8475681,Ben,Scrivens,CAN,187.96,181.0,L
Defence,8475782,Morgan,Ellis,CAN,185.42,211.0,R
Defence,8473440,Will,O'Neill,USA,185.42,190.0,L
Left Wing,8474554,Eric,Selleck,CAN,187.96,208.0,L
Goalie,8476444,Christopher,Gibson,FIN,185.42,188.0,L
Goalie,8479115,Jorge,Alves,USA,175.26,185.0,L
Goalie,8479312,Alex,Lyon,USA,185.42,201.0,L
Left Wing,8478413,Jordan,Greenway,USA,198.12,226.0,L
Defence,8478011,Louie,Belpedio,USA,180.34,193.0,R
Right Wing,8471309,Johan,Franzen,SWE,193.04,232.0,L
Right Wing,8478447,Nicholas,Merkley,CAN,177.8,194.0,L
Goalie,8471301,Jeff,Glass,CAN,190.5,206.0,L
Right Wing,8478268,Jack,Rodewald,CAN,187.96,189.0,R
Left Wing,8476526,Ben,Thomson,CAN,190.5,205.0,L
Left Wing,8478371,Matt,Lorito,CAN,175.26,171.0,L
Defence,8476418,Robbie,Russo,USA,182.88,191.0,R
Center,8476043,Ben,Street,CAN,180.34,200.0,L
Center,8475980,Brody,Sutter,CAN,195.58,203.0,R
Left Wing,8471916,Mike,Angelidis,CAN,185.42,214.0,L
Right Wing,8475423,Darren,Archibald,CAN,190.5,210.0,L
Defence,8471240,Jeff,Schultz,CAN,198.12,225.0,L
Defence,8476397,Keegan,Lowe,USA,185.42,193.0,L
Goalie,8473614,Richard,Bachman,USA,177.8,183.0,L
Left Wing,8477399,Tyrell,Goulbourne,CAN,180.34,195.0,L
Left Wing,8474025,Eric,Tangradi,USA,193.04,221.0,L
Center,8479404,Henrik,Borgstrom,FIN,190.5,185.0,L
Center,8479249,Andrew,Poturalski,USA,177.8,180.0,R
Left Wing,8475461,Andrew,Agozzino,CAN,177.8,187.0,L
Left Wing,8475749,Christian,Thomas,CAN,175.26,175.0,R
Left Wing,8478870,Rudolfs,Balcers,LVA,180.34,175.0,L
Left Wing,8475436,Mike,Liambas,CAN,177.8,196.0,L
Defence,8480771,Daniel,Brickley,USA,190.5,203.0,L
Right Wing,8480776,Sheldon,Rempal,CAN,177.8,165.0,R
Defence,8480163,Philip,Holm,SWE,185.42,190.0,L
Center,8477994,Dominic,Turgeon,CAN,187.96,200.0,L
Center,8477249,Andrew,Miller,USA,177.8,181.0,R
Center,8474616,Patrice,Cormier,CAN,187.96,215.0,L
Defence,8477041,Brady,Austin,CAN,193.04,230.0,L
Defence,8476379,Darren,Dietz,CAN,185.42,201.0,R
Center,8478874,Adam,Gaudette,USA,185.42,170.0,R
Defence,8477085,Ashton,Sautner,CAN,185.42,195.0,L
Defence,8471752,Marc-Andre,Gragnani,CAN,190.5,205.0,L
Center,8471856,Joe,Vitale,USA,180.34,205.0,R
Defence,8474019,Tommy,Cross,USA,190.5,205.0,L
Right Wing,8479977,Kailer,Yamamoto,USA,172.72,154.0,R
Center,8479366,Logan,Brown,USA,198.12,220.0,L
Left Wing,8475214,Jeremy,Morin,USA,185.42,195.0,R
Left Wing,8480083,C.J.,Smith,USA,180.34,181.0,L
Right Wing,8479423,Alexander,Nylander,CAN,185.42,192.0,R
Right Wing,8477428,Justin,Auger,CAN,198.12,232.0,R
Center,8473942,Trevor,Smith,CAN,185.42,195.0,L
Goalie,8474682,Dustin,Tokarski,CAN,182.88,204.0,L
Defence,8478425,Brendan,Guhle,CAN,187.96,196.0,L
Defence,8474518,Davis,Drewiske,USA,187.96,222.0,L
Defence,8473921,Joe,Piskula,USA,190.5,205.0,L
Right Wing,8469490,Tim,Jackman,USA,187.96,225.0,R
Goalie,8476309,Jason,Kasdorf,CAN,193.04,205.0,L
Left Wing,8475756,John,McFarland,CAN,182.88,211.0,R
Goalie,8470093,Mike,McKenna,USA,187.96,183.0,R
Defence,8478176,Joe,Hicketts,CAN,172.72,180.0,L
Center,8474535,Chris,Mueller,USA,180.34,209.0,R
Goalie,8478559,Matthew,O'Connor,CAN,198.12,205.0,L
Defence,8470714,Corey,Potter,USA,190.5,204.0,R
Left Wing,8480164,Henrik,Haapala,FIN,175.26,165.0,L
Left Wing,8477566,Sergey,Tolchinsky,RUS,172.72,170.0,L
Defence,8475148,Tim,Erixon,SWE,187.96,200.0,L
Defence,8478868,Christian,Jaros,SVK,190.5,201.0,R
Left Wing,8480029,Alex,Formenton,CAN,187.96,165.0,L
Center,8471996,Bracken,Kearns,CAN,182.88,200.0,L
Goalie,8474667,Harri,Sateri,FIN,185.42,205.0,L
Goalie,8471251,Justin,Peters,CAN,185.42,210.0,L
Center,8473562,John,McCarthy,USA,185.42,195.0,L
Defence,8476953,Trevor,Carrick,CAN,187.96,186.0,L
Center,8478480,Blake,Speers,CAN,180.34,185.0,R
Defence,8474659,Matt,Donovan,USA,185.42,205.0,L
Goalie,8477990,Brandon,Halverson,USA,193.04,209.0,L
Center,8473431,Bud,Holloway,CAN,182.88,194.0,R
Defence,8477390,Ben,Betker,CAN,198.12,226.0,L
Goalie,8478499,Adin,Hill,CAN,198.12,202.0,L
Goalie,8480420,Collin,Delia,USA,187.96,200.0,L
Goalie,8479138,Scott,Foster,,,,
Goalie,8477480,Eric,Comrie,CAN,185.42,175.0,L
Defence,8476006,Brenden,Kichton,CAN,177.8,185.0,R
Defence,8475294,Rasmus,Rissanen,FIN,190.5,217.0,L
Defence,8477369,Carson,Soucy,CAN,195.58,208.0,L
Center,8477881,Connor,Jones,CAN,175.26,182.0,L
Center,8479650,Vadim,Shipachyov,RUS,182.88,187.0,L
Defence,8470378,Andre,Benoit,CAN,180.34,191.0,L
Left Wing,8476944,Brendan,Woods,CAN,193.04,210.0,L
Right Wing,8480330,Spencer,Foo,CAN,182.88,190.0,R
Right Wing,8467899,Martin,Havlat,CZE,187.96,210.0,L
Center,8478462,Nicolas,Roy,CAN,193.04,208.0,R
Goalie,8475611,Zane,Kalemba,USA,180.34,185.0,L
Goalie,8476861,Oscar,Dansk,SWE,190.5,195.0,L
Center,8480082,Justin,Kloos,USA,175.26,180.0,R
Goalie,8477967,Thatcher,Demko,USA,193.04,192.0,L
Goalie,8476992,Marek,Mazanec,CZE,193.04,187.0,R
Right Wing,8475757,Brett,Bulmer,CAN,193.04,212.0,R
Left Wing,8477923,Michael,Keranen,FIN,185.42,170.0,L
Center,8479032,Justin,Scott,CAN,185.42,198.0,L
Goalie,8475789,Jack,Campbell,USA,187.96,197.0,L
Center,8477314,Brian,Pinho,USA,182.88,173.0,R
Center,8477391,Sean,Malone,USA,182.88,197.0,L
Defence,8477441,Jordan,Subban,CAN,175.26,175.0,R
Goalie,8478965,Ken,Appleby,CAN,193.04,210.0,L
Center,8479999,Casey,Mittelstadt,USA,185.42,201.0,L
Defence,8478915,Sami,Niku,FIN,185.42,176.0,L
Right Wing,8475291,Garrett,Mitchell,CAN,180.34,198.0,R
Left Wing,8477449,Morgan,Klimchuk,CAN,182.88,185.0,L
Defence,8476426,David,Musil,CAN,193.04,207.0,L
Goalie,8476412,Jordan,Binnington,CAN,185.42,167.0,L
Center,8476819,Jeremy,Welsh,CAN,190.5,210.0,L
Defence,8478013,Jake,Walman,CAN,185.42,170.0,L
Goalie,8469548,Ray,Emery,CAN,187.96,196.0,L
Left Wing,8476147,Kael,Mouillierat,CAN,182.88,188.0,L
Right Wing,8472368,Chris,Conner,USA,170.18,181.0,L
Goalie,8471186,Yann,Danis,CAN,180.34,180.0,L
Goalie,8476904,Chris,Driedger,CAN,193.04,205.0,L
Left Wing,8478365,Danick,Martel,CAN,172.72,162.0,L
Center,8476974,Thomas,Di Pauli,USA,180.34,188.0,L
Left Wing,8479613,Giovanni,Fiore,CAN,185.42,193.0,L
Goalie,8476330,Adam,Wilcox,USA,182.88,189.0,L
Goalie,8480718,Ben,Wexler,,,,
Defence,8479252,Dan,Renouf,CAN,187.96,205.0,L
Defence,8477028,Nick,Ebert,USA,185.42,205.0,R
Goalie,8477831,Pheonix,Copley,USA,193.04,200.0,L
Goalie,8475300,Joe,Cannata,USA,185.42,200.0,L
Left Wing,8476805,Spencer,Abbott,CAN,175.26,170.0,R
Defence,8470839,Shane,O'Brien,CAN,190.5,230.0,L
Defence,8475718,Justin,Holl,USA,190.5,205.0,R
Goalie,8480524,Tyler,Stewart,USA,165.1,141.0,L
Defence,8476478,Stuart,Percy,CAN,185.42,187.0,L
Goalie,8477968,Alex,Nedeljkovic,USA,182.88,198.0,L
Center,8477483,Yan Pavel,Laplante,CAN,182.88,187.0,L
Defence,8478430,Oliver,Kylington,SWE,182.88,183.0,L
Goalie,8474690,Kevin,Poulin,CAN,187.96,206.0,L
Defence,8475829,John,Ramage,CAN,185.42,194.0,R
Defence,8475732,Danny,Biega,CAN,182.88,205.0,R
Left Wing,8478565,Matthias,Plachta,DEU,187.96,218.0,L
Center,8476505,Turner,Elson,CAN,182.88,195.0,L
Goalie,8480263,Dylan,Ferguson,CAN,185.42,189.0,L
Goalie,8478024,Ville,Husso,FIN,190.5,205.0,L
Center,8476511,Samuel,Henley,CAN,193.04,210.0,L
Center,8478839,Aleksi,Saarela,FIN,180.34,198.0,L
Goalie,8471433,Daniel,Taylor,GBR,182.88,198.0,L
Defence,8477091,Evan,McEneny,CAN,187.96,203.0,L
Goalie,8476986,Marek,Langhamer,CZE,187.96,190.0,L
Defence,8467344,Robyn,Regehr,CAN,190.5,222.0,L
Defence,8467917,Jordan,Leopold,USA,185.42,206.0,L
Left Wing,8466160,Brenden,Morrow,CAN,180.34,212.0,L
Right Wing,8470302,Patrick,Dwyer,USA,180.34,175.0,R
Defence,8474135,Brett,Bellemore,CAN,193.04,225.0,R
Defence,8469476,Tim,Gleason,USA,182.88,217.0,L
Right Wing,8470647,B.J.,Crombeen,USA,187.96,209.0,R
Defence,8467332,Bryan,Allen,CAN,195.58,223.0,L
Left Wing,8474646,Brandon,McMillan,CAN,180.34,190.0,L
Right Wing,8468064,Martin,Erat,CZE,182.88,196.0,L
Left Wing,8468482,Dany,Heatley,CAN,190.5,212.0,L
Center,8466140,Olli,Jokinen,FIN,187.96,210.0,L
Right Wing,8465166,Craig,Adams,CAN,182.88,200.0,R
Center,8470654,Maxim,Lapierre,CAN,187.96,215.0,R
Center,8469473,Marcel,Goc,DEU,185.42,197.0,L
Center,8470289,Jim,Slater,USA,182.88,195.0,L
Left Wing,8474001,TJ,Galiardi,CAN,187.96,185.0,L
Defence,8469531,Jay,Harrison,CAN,193.04,222.0,L
Center,8473682,Andrew,Ebbett,CAN,175.26,174.0,L
Left Wing,8474576,Zach,Boychuk,CAN,177.8,185.0,L
Goalie,8468524,Ilya,Bryzgalov,RUS,190.5,213.0,L
Defence,8474606,Colby,Robak,CAN,190.5,194.0,L
Defence,8474048,Keith,Aulie,CAN,198.12,222.0,L
Right Wing,8473911,Steven,Pinizzotto,CAN,185.42,205.0,R
Defence,8471241,Mark,Fistric,CAN,187.96,225.0,L
Goalie,8476839,Viktor,Fasth,SWE,182.88,181.0,L
Center,8467334,Manny,Malhotra,CAN,187.96,207.0,L
Defence,8470054,Keith,Ballard,USA,180.34,204.0,L
Left Wing,8469542,Stephane,Veilleux,CAN,185.42,200.0,L
Defence,8468478,Mike,Weaver,CAN,177.8,186.0,R
Left Wing,8474137,Drayson,Bowman,USA,185.42,195.0,L
Defence,8474164,Jonathon,Blum,USA,185.42,188.0,R
Center,8471718,Marc-Andre,Cliche,CAN,182.88,202.0,R
Center,8473536,James,Sheppard,CAN,185.42,215.0,L
Center,8464975,Daniel,Briere,CAN,175.26,174.0,R
Defence,8466158,Scott,Hannan,CAN,185.42,215.0,L
Defence,8470699,Jan,Hejda,CZE,193.04,230.0,L
Defence,8473700,Ryan,Wilson,CAN,185.42,210.0,L
Right Wing,8470063,Adam,Burish,USA,185.42,195.0,R
Center,8474793,Justin,Hodgman,CAN,185.42,203.0,R
Defence,8471482,Grant,Clitsome,CAN,180.34,211.0,L
Right Wing,8469664,David,Moss,USA,193.04,210.0,R
Right Wing,8476363,Brian,Ferlin,USA,187.96,213.0,R
Left Wing,8467396,Erik,Cole,USA,187.96,205.0,L
Defence,8458951,Sergei,Gonchar,RUS,187.96,210.0,L
Defence,8466142,Eric,Brewer,CAN,193.04,216.0,L
Center,8474095,Dana,Tyrell,CAN,177.8,192.0,L
Defence,8473647,Frédéric,St-Denis,CAN,180.34,192.0,L
Goalie,8460705,Evgeni,Nabokov,RUS,182.88,202.0,L
Right Wing,8468518,Tomas,Kopecky,SVK,190.5,210.0,L
Left Wing,8470176,Sean,Bergenheim,FIN,180.34,201.0,L
Defence,8471879,Kyle,Cumiskey,CAN,180.34,180.0,L
Left Wing,8470666,Daniel,Carcillo,CAN,182.88,200.0,L
Defence,8474748,Andrew,MacWilliam,CAN,187.96,223.0,L
Center,8470152,Joakim,Lindstrom,SWE,182.88,187.0,L
Center,8469485,Derek,Roy,CAN,175.26,184.0,L
Defence,8462196,Stephane,Robidas,CAN,180.34,190.0,R
Right Wing,8475295,Brandon,Kozun,USA,172.72,167.0,R
Right Wing,8475671,Matt,Fraser,CAN,190.5,206.0,L
Right Wing,8466149,Daniel,Cleary,CAN,185.42,205.0,L
Center,8469457,Stephen,Weiss,CAN,180.34,190.0,L
